,Ten,Gia ,Link
0,Sách Tô Màu - Tô Bình Yên - Vẽ Hạnh Phúc - Kulzsc,"₫88,000",https://www.lazada.vn/products/sach-to-mau-to-binh-yen-ve-hanh-phuc-kulzsc-i1279383143.html
1,Sách - Thất Tịch Không Mưa,"₫35,567",https://www.lazada.vn/products/sach-that-tich-khong-mua-i1476133659.html
2,"Sách TIỂU THUYẾT ĐAM MỸ - Tình Đầu Chọn Tôi, Tôi Rất Ngọt - Thụy Mang","₫140,270",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-tinh-dau-chon-toi-toi-rat-ngot-thuy-mang-i2052179600.html
3,SÁCH TIỂU THUYẾT ĐAM MỸ - TẬP 1 Roses And Champagne - HOA HỒNG VÀ SÂM BANH 1 - ZIG,"₫147,420",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-tap-1-roses-and-champagne-hoa-hong-va-sam-banh-1-zig-i2054173315.html
4,Fahasa - Thiên Quan Tứ Phúc - Tập 3,"₫116,000",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-3-i1332876732.html
5,Fahasa - Husky Và Sư Tôn Mèo Trắng Của Hắn - Tập 1,"₫108,700",https://www.lazada.vn/products/fahasa-husky-va-su-ton-meo-trang-cua-han-tap-1-i1242820956.html
6,Fahasa - Nguyện Lấy Giang Sơn Làm Sính Lễ (Bộ 2 Tập) - Tặng Kèm Bookmark,"₫264,400",https://www.lazada.vn/products/fahasa-nguyen-lay-giang-son-lam-sinh-le-bo-2-tap-tang-kem-bookmark-i1783880908.html
7,Fahasa - Vụng Trộm Yêu Anh (Bộ 2 Tập),"₫204,100",https://www.lazada.vn/products/fahasa-vung-trom-yeu-anh-bo-2-tap-i1630249630.html
8,Fahasa - Khi Chủ Tịch Không Yêu Nữ Chính (Bộ 2 tập) - Tặng Kèm Bookmark + Postcard,"₫168,210",https://www.lazada.vn/products/fahasa-khi-chu-tich-khong-yeu-nu-chinh-bo-2-tap-tang-kem-bookmark-postcard-i1697745362.html
9,Fahasa - Thiên Quan Tứ Phúc - Tập 5,"₫124,656",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-5-i1920429551.html
